category,brand,name,price_eur,rating_count,specs,image_url
SSD,Intel,Intel DC S3700,225.26,0,"{""Cache"":"""",""Capacity"":""400 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.563"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/1a548a8a0a78852bc0a492d8e04fb464.256p.jpg
SSD,Western Digital,Western Digital WD_Black SN850X,344.84,247,"{""Cache"":""2048 MB"",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.172"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg
SSD,Western Digital,Western Digital WD_Black SN850X,202.23,127,"{""Cache"":""1024 MB"",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.202"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN7100,214.41,10,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.214"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/d8008770390602cb9c369c3fb28c8f09.256p.jpg
SSD,Western Digital,Western Digital WD_Black SN850X,542.21,86,"{""Cache"":""2048 MB"",""Capacity"":""4 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.136"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg
SSD,Western Digital,Western Digital WD_Black SN850X,2456.69,7,"{""Cache"":""2048 MB"",""Capacity"":""8 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.307"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/0427e658396f37fc8e06723b42a4f7df.256p.jpg
SSD,Western Digital,Western Digital Black SN770,300.0,137,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.300"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg
SSD,Western Digital,Western Digital Green SN350,167.1,12,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.167"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/57b87f0a167a06e77da78f9812f28367.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN7100,309.77,16,"{""Cache"":"""",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.155"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/6f0fd73f94e49659eace8db76370bc34.256p.jpg
SSD,Western Digital,Western Digital WD_BLACK SN8100,697.99,5,"{""Cache"":""2048 MB"",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.349"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg
