category,brand,name,price,rating_count,specs,image_url
CASE,ARCTIC,ARCTIC Xtender Mirror,232000,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/a43aac885f460442254ef6f2518fe512.256p.jpg
CASE,Apevia,Apevia Phantom Mesh,170600,0,"{""Color"": ""Pink"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Mid Tower""}",https://m.media-amazon.com/images/I/41Yj88Aw8SL.jpg
CASE,KOLINK,KOLINK UNITY CODE X,164000,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/e2ebdeb5f2e3a8ebe65f344119b93c5e.256p.jpg
CASE,Gigabyte,Gigabyte AORUS C400,207400,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/40e14d246ab8f5710ff7d2180204478b.256p.jpg
CASE,be quiet!,be quiet! Light Base 500 LX,192100,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/9a92687cefa914d43483e91ea0f50b72.256p.jpg
CASE,Cooler Master,Cooler Master MasterBox 600,124000,1,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/0745b7a75f8e43d5c777f65ca468d40b.256p.jpg
CASE,Montech,Montech Heritage PRO,146200,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/326aa24a1b57188a2c0038f2d91f03f5.256p.jpg
CASE,FSP Group,FSP Group S380,106300,1,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/6a55aadcdf84d92eb61eee9d569f12b3.256p.jpg
CASE,Cooler Master,Cooler Master MasterFrame 600,251500,0,"{""Color"": ""Silver"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/03a2b8a03099ff3103d981b0023a13d6.256p.jpg
CASE,Jonsbo,Jonsbo D32 PRO MESH,124300,0,"{""Color"": """", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Desktop""}",https://cdna.pcpartpicker.com/static/forever/images/product/bc395ee5ad513b03ee78120c97c7fffc.256p.jpg
CASE,Deepcool,Deepcool CH690 DIGITAL,134400,1,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/388c05cd3ebf20d1f2f7b5e989388425.256p.jpg
CASE,be quiet!,be quiet! Shadow Base 800 FX,253700,1,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/ecb2ee55678a6d5c1e8f95319ce69af8.256p.jpg
CASE,Silverstone,Silverstone Milo 12,306400,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""0"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""HTPC""}",https://m.media-amazon.com/images/I/417Lw9WKvgL.jpg
CASE,SSUPD,SSUPD Meshlicious (PCIe 4.0),267900,7,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""0"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""Mini ITX Tower""}",https://m.media-amazon.com/images/I/41HcZfUl28L.jpg
CASE,Corsair,Corsair Crystal 280X RGB,253000,20,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/fda36fe43248802f18d2f71376b3c380.256p.jpg
